name,age,salary,city
Amit,25.0,50000,Pune
Neha,27.0,60000,60000
Rahul,30.0,70000,Pune
Priya,22.0,50000,Pune
Karan,25.0,50000,Pune
Sneha,120.0,90000,Pune
Rohit,28.0,abc,Pune
Anjali,27.0,65000,Pune
Amit,27.0,62000,Pune
Neha,27.0,58000,Pune
Rahul,27.0,72000,Pune
Priya,27.0,54000,Pune
Karan,27.0,51000,Pune
Sneha,27.0,68000,Pune
Rohit,27.0,95000,Pune
Anjali,27.0,60000,Pune
Amit,27.0,50000,Pune
Neha,27.0,61000,Pune
Rahul,27.0,73000,Pune
Priya,27.0,55000,Pune
Karan,27.0,52000,Pune
Sneha,27.0,69000,Pune
Rohit,27.0,abc,Pune
Anjali,27.0,64000,Pune
Amit,27.0,53000,Pune
Neha,27.0,60000,Pune
Rahul,27.0,75000,Pune
Priya,27.0,52000,Pune
Karan,27.0,50000,Pune
Sneha,27.0,91000,Pune
Rohit,27.0,67000,Pune
Anjali,27.0,65000,Pune
Neha,27.0,59000,Pune
Rahul,27.0,71000,Pune
Karan,27.0,50000,Pune
Rohit,27.0,66000,Pune
Amit,27.0,52000,Pune
Rahul,27.0,74000,Pune
Karan,27.0,53000,Pune
Sneha,27.0,70000,Mumbai
Rohit,27.0,abc,Delhi
Anjali,27.0,65000,Pune
Amit,27.0,61000,Pune
Neha,27.0,58000,Mumbai
Rahul,27.0,76000,Delhi
Priya,27.0,54000,Pune
Karan,27.0,50000,Pune
Sneha,27.0,92000,Mumbai
Rohit,27.0,67000,Delhi
Anjali,27.0,63000,Pune
Amit,27.0,53000,Pune
Neha,27.0,60000,Mumbai
Rahul,27.0,74000,Delhi
Priya,27.0,55000,Pune
Karan,27.0,50000,Pune
Sneha,27.0,69000,Mumbai
Rohit,27.0,96000,Delhi
Amit,27.0,50000,Pune
Neha,27.0,61000,Mumbai
Rahul,27.0,72000,Delhi
Rohit,27.0,66000,Delhi
Anjali,27.0,64000,Pune
Amit,27.0,50000,Pune
Neha,27.0,50000,Pune
Rahul,27.0,50000,Pune
Priya,27.0,50000,Pune
Sneha,27.0,50000,Pune
Rohit,27.0,50000,Pune
Anjali,27.0,50000,Pune
